IP	MAC	HostName	CPU	RAM Size	Share File	SystemVer	NetCard Type	NetCard Vendor
161.200.145.163	00:02:65:14:C1:BF	-	-	-		-	-	Virditech Co. Ltd.
161.200.144.164	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.164	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.165	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.165	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.166	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.166	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.167	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.167	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.168	00:25:90:73:27:EC	-	-	-		-	-	Super Micro Computer, Inc.
161.200.145.168	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.169	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.169	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.170	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.170	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.171	98:90:96:BC:35:28	IIC581551	-	-		-	-	
161.200.145.171	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.172	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.172	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.173	00:26:55:41:BF:63	OPAC-0908	-	-		-	-	Hewlett-Packard Company
161.200.145.173	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.174	6C:62:6D:55:AD:81	USER-PC	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.174	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.175	00:21:70:66:57:81	OPAC5504	-	-		-	-	Dell Inc
161.200.145.175	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.176	78:E3:B5:99:CC:45	-	-	-		-	-	Hewlett-Packard Company
161.200.145.176	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.177	18:03:73:4D:2A:77	ILR-5526	-	-		-	-	Dell Inc
161.200.145.177	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.178	18:A9:05:C4:B6:FD	-	-	-		-	-	Hewlett-Packard Company
161.200.145.178	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.179	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.179	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.180	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.180	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.181	40:6C:8F:16:07:DB	NARAPONGS-IMAC	-	-		-	-	Apple, Inc.
161.200.145.181	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.182	64:00:6A:7B:13:FF	ILR1623	-	-		-	-	
161.200.145.182	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.183	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.183	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.184	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.184	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.185	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.185	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.186	18:03:73:4D:2B:46	IRM5502	-	-		-	-	Dell Inc
161.200.145.186	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.187	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.187	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.188	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.188	00:A0:98:9E:BD:40	-	-	-		-	-	NetApp
161.200.144.189	40:6C:8F:15:FB:5F	-	-	-		-	-	Apple, Inc.
161.200.145.189	00:A0:98:9E:BD:1C	-	-	-		-	-	NetApp
161.200.144.190	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.190	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.191	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.191	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.192	6C:62:6D:55:AD:B8	AV_STREAM15	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.192	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.193	F8:0F:41:C2:A1:79	-	-	-		-	-	Wistron InfoComm(ZhongShan) Corporation
161.200.145.193	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.194	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.194	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.195	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.195	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.196	18:03:73:4D:29:2F	-	-	-		-	-	Dell Inc
161.200.145.196	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.197	00:25:90:73:27:69	JULAEP	-	-		-	-	Super Micro Computer, Inc.
161.200.145.197	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.198	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.198	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.199	98:90:96:BC:2C:14	CMD581544	-	-		-	-	
161.200.145.199	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.200	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.200	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.201	18:03:73:4D:26:75	RSS5545	-	-		-	-	Dell Inc
161.200.145.201	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.202	B0:83:FE:6D:1F:63	-	-	-		-	-	
